background_abmag,sun_alt,sun_angle
76.07967926908579,-36.04855,73.08652499999998
76.07967926908579,-36.04855,73.08652499999998
76.07967926908579,-36.04855,73.08652499999998
76.07967926908579,-36.04855,73.08652499999998
76.08318794109475,-25.138521,73.09219400000002
76.08318794109475,-25.138521,73.09219400000002
76.08318794109475,-25.138521,73.09219400000002
76.08318794109475,-25.138521,73.09219400000002
76.09527070786494,-17.275274,73.132988
76.09527070786494,-17.275274,73.132988
76.09527070786494,-17.275274,73.132988
76.09527070786494,-17.275274,73.132988
76.09434430746434,-36.525021,73.13790899999998
76.09434430746434,-36.525021,73.13790899999998
76.09434430746434,-36.525021,73.13790899999998
76.09434430746434,-36.525021,73.13790899999998
77.6250243058359,-49.571514,118.66116299999999
77.6250243058359,-49.571514,118.66116299999999
77.6250243058359,-49.571514,118.66116299999999
77.6250243058359,-49.571514,118.66116299999999
77.61317838522304,-38.222755,118.666641
77.61317838522304,-38.222755,118.666641
77.61317838522304,-38.222755,118.666641
77.61317838522304,-38.222755,118.666641
77.61140717365299,-4.165817,118.67078400000001
77.61140717365299,-4.165817,118.67078400000001
77.61140717365299,-4.165817,118.67078400000001
77.61140717365299,-4.165817,118.67078400000001
77.28345349902109,29.224209000000002,118.675545
77.28345349902109,29.224209000000002,118.675545
77.28345349902109,29.224209000000002,118.675545
77.28345349902109,29.224209000000002,118.675545
77.67040777866897,30.566107000000002,129.354568
77.67040777866897,30.566107000000002,129.354568
77.67040777866897,30.566107000000002,129.354568
77.67040777866897,30.566107000000002,129.354568
77.70639468381277,1.8336029999999999,129.34935
77.70639468381277,1.8336029999999999,129.34935
77.70639468381277,1.8336029999999999,129.34935
77.70639468381277,1.8336029999999999,129.34935
77.70299011601315,-19.109056,129.343765
77.70299011601315,-19.109056,129.343765
77.70299011601315,-19.109056,129.343765
77.70299011601315,-19.109056,129.343765
77.66608647022396,-23.881922,129.339233
77.66608647022396,-23.881922,129.339233
77.66608647022396,-23.881922,129.339233
77.66608647022396,-23.881922,129.339233
77.57558049349427,-49.665440000000004,80.825058
77.57558049349427,-49.665440000000004,80.825058
77.57558049349427,-49.665440000000004,80.825058
77.57558049349427,-49.665440000000004,80.825058
77.57167121093838,-10.490928,80.830826
77.57167121093838,-10.490928,80.830826
77.57167121093838,-10.490928,80.830826
77.57167121093838,-10.490928,80.830826
77.51740814460507,25.071254999999997,80.835228
77.51740814460507,25.071254999999997,80.835228
77.51740814460507,25.071254999999997,80.835228
77.51740814460507,25.071254999999997,80.835228
77.43403111388717,59.136749,80.84023999999998
77.43403111388717,59.136749,80.84023999999998
77.43403111388717,59.136749,80.84023999999998
77.43403111388717,59.136749,80.84023999999998
77.49328212464235,59.046654000000004,128.783356
77.49328212464235,59.046654000000004,128.783356
77.49328212464235,59.046654000000004,128.783356
77.49328212464235,59.046654000000004,128.783356
77.62909278353317,34.125893,128.778076
77.62909278353317,34.125893,128.778076
77.62909278353317,34.125893,128.778076
77.62909278353317,34.125893,128.778076
77.63292606223433,8.804518,128.772476
77.63292606223433,8.804518,128.772476
77.63292606223433,8.804518,128.772476
77.63292606223433,8.804518,128.772476
77.6217716360482,-12.407964999999999,128.767883
77.6217716360482,-12.407964999999999,128.767883
77.6217716360482,-12.407964999999999,128.767883
77.6217716360482,-12.407964999999999,128.767883
inf,-24.104670000000002,98.639587
inf,-47.105373,98.633583
78.99654155402445,64.798264,54.18597
78.99654155402445,64.798264,54.18597
79.19303714717995,-27.836616999999997,54.221084999999995
79.19303714717995,-27.836616999999997,54.221084999999995
79.18580325998326,-2.645725,54.225857
79.18580325998326,-2.645725,54.225857
77.73226513397515,-49.164509,90.041267
77.73226513397515,-49.164509,90.041267
79.13662453880315,48.133076,90.061966
79.13662453880315,48.133076,90.061966
79.37904973388427,11.068480000000001,90.06150799999999
79.37904973388427,11.068480000000001,90.06150799999999
77.79155581886077,-43.105740000000004,86.53389
77.79155581886077,-43.105740000000004,86.53389
77.78626709756666,-22.956253,86.53375200000002
77.78626709756666,-22.956253,86.53375200000002
67.64864925884946,-33.782578,122.712341
65.4709091566037,43.793251,122.732964
inf,78.247963,79.357536
inf,78.247963,79.357536
inf,83.467392,79.32075500000002
inf,83.467392,79.32075500000002
79.647123334948,-2.872677,73.443848
79.57487862235389,55.103226,73.455505
79.60783792341908,-38.608807,93.520706
79.60773037688887,-27.221390000000003,93.532784
79.5823773102295,13.507535,71.15181699999998
79.41963103571027,67.905067,71.163567
80.09997573111463,50.561271999999995,68.926765
80.22956877958289,59.24685699999999,68.919533
78.4448094093081,13.06587,55.295467
78.4448094093081,13.06587,55.295467
78.26751055972741,45.351788,55.295017
78.26751055972741,45.351788,55.295017
80.79065564115615,-58.494843,95.294632
